# ts tempo_betaInf_lt0
# ts	tempo_betaInf_lt0
0.0	3.3475032179156346e-17
0.00625	0.00632992449284069
0.0125	0.012573534862578414
0.018750000000000003	0.018806421507071
0.025	0.025023242161674997
0.03125	0.031218668217920516
0.037500000000000006	0.03738738924980304
0.043750000000000004	0.043524117527622544
0.05	0.04962359250914288
0.05625	0.055680585306083115
0.0625	0.061689903121781374
0.06875	0.06764639365571418
0.07500000000000001	0.07354494947042857
0.08125	0.07938051231694838
0.08750000000000001	0.08514807741517304
0.09375	0.09084269768508725
0.1	0.09645948792517474
0.10625000000000001	0.10199362893508593
0.1125	0.10744037158040548
0.11875000000000001	0.11279504079699608
0.125	0.11805303953472551
0.13125	0.1232098525629465
0.1375	0.12826105029789225
0.14375000000000002	0.13320229250586774
0.15000000000000002	0.13802933192312417
0.15625	0.1427380177950579
0.1625	0.14732429932910043
0.16875	0.15178422905566752
0.17500000000000002	0.156113966094076
0.18125000000000002	0.16030977932137402
0.1875	0.1643680504411887
0.19375	0.16828527695029
0.2	0.17205807500008385
0.20625000000000002	0.17568318215015458
0.21250000000000002	0.1791574600127908
0.21875	0.182477896781546
0.225	0.1856416096470839
0.23125	0.18864584709526214
0.23750000000000002	0.1914879910798248
0.24375000000000002	0.19416555907765742
0.25	0.19667620603751348
0.25625000000000003	0.19901772617546698
0.2625	0.2011880546591592
0.26875	0.2031852691656184
0.275	0.20500759132368893
0.28125	0.2066533880072975
0.28750000000000003	0.20812117232998018
0.29375	0.20940960508017856
0.30000000000000004	0.21051749534600542
0.30625	0.2114438012712326
0.3125	0.21218763072517763
0.31875000000000003	0.21274824180200566
0.325	0.21312504318574774
0.33125000000000004	0.2133175943780405
0.3375	0.21332560578963547
0.34375	0.21314893869688012
0.35000000000000003	0.21278760506445102
0.35625	0.21224176723370394
0.36250000000000004	0.21151173747466953
0.36875	0.21059797740102934
0.375	0.20950109725452248
0.38125000000000003	0.20822185505576918
0.3875	0.2067611556210264
0.39375000000000004	0.20512004945050513
0.4	0.2032997314868704
0.40625	0.20130153974588938
0.41250000000000003	0.19912695382054252
0.41875	0.19677759325991584
0.42500000000000004	0.19425521582469188
0.43125	0.19156171562071764
0.4375	0.1886991211133218
0.44375000000000003	0.18566959302339506
0.45	0.182475422108607
0.45625000000000004	0.17911902683066241
0.4625	0.17560295091176054
0.46875	0.1719298607818223
0.47500000000000003	0.16810254291957
0.48125	0.16412390109043923
0.48750000000000004	0.15999695348404905
0.49375	0.15572482975360805
0.5	0.15131076796058998
0.50625	0.14675811142732498
0.5125000000000001	0.14207030551683175
0.51875	0.13725089429734344
0.525	0.1323035171248954
0.53125	0.12723190517164745
0.5375	0.12203987787978911
0.5437500000000001	0.11673133931058417
0.55	0.11131027441520622
0.55625	0.10578074526054529
0.5625	0.10014688720668183
0.56875	0.09441290501560554
0.5750000000000001	0.08858306890212976
0.58125	0.0826617105299764
0.5875	0.07665321895840414
0.59375	0.07056203654473332
0.6000000000000001	0.06439265480743972
0.6062500000000001	0.05814961026325736
0.6125	0.05183748022593541
0.61875	0.04546087857456304
0.625	0.03902445149925554
0.6312500000000001	0.032532873227885645
0.6375000000000001	0.025990841737590413
0.64375	0.01940307445494187
0.65	0.012774303948915476
0.65625	0.0061092736209016
0.6625000000000001	-0.0005872666041556539
0.6687500000000001	-0.007310564580124742
0.675	-0.01405587024169041
0.68125	-0.020818439887934158
0.6875	-0.027593540451363228
0.6937500000000001	-0.034376453749092026
0.7000000000000001	-0.04116248070456637
0.70625	-0.04794694554544065
0.7125	-0.05472519996480274
0.71875	-0.06149262723663397
0.7250000000000001	-0.06824464628484846
0.7312500000000001	-0.07497671571618761
0.7375	-0.08168433782321544
0.74375	-0.0883630625355007
0.75	-0.09500849131048279
0.7562500000000001	-0.10161628096440785
0.7625000000000001	-0.10818214744119098
0.76875	-0.11470186951536732
0.775	-0.12117129242701229
0.78125	-0.12758633144444392
0.7875000000000001	-0.13394297535140712
0.7937500000000001	-0.14023728985614553
0.8	-0.1464654209058648
0.80625	-0.15262359793851793
0.8125	-0.15870813706253126
0.8187500000000001	-0.16471544409827601
0.8250000000000001	-0.1706420175538675
0.83125	-0.17648445150039319
0.8375	-0.18223943834862352
0.84375	-0.18790377152732243
0.8500000000000001	-0.1934743480575562
0.8562500000000001	-0.19894817102178
0.8625	-0.2043223519251563
0.86875	-0.20959411294749308
0.875	-0.21476078908339422
0.8812500000000001	-0.2198198301697908
0.8875000000000001	-0.22476880279793476
0.89375	-0.229605392109189
0.9	-0.23432740347265504
0.90625	-0.23893276404350608
0.9125000000000001	-0.2434195242006878
0.9187500000000001	-0.24778585886301518
0.925	-0.2520300686824259
0.93125	-0.25615058111365263
0.9375	-0.26014595135993557
0.9437500000000001	-0.2640148631932037
0.9500000000000001	-0.2677561296491725
0.95625	-0.27136869359668986
0.9625	-0.27485162818058323
0.96875	-0.27820413713883935
0.9750000000000001	-0.2814255549931569
0.9812500000000001	-0.28451534711347404
0.9875	-0.2874731096563933
0.99375	-0.29029856937859216
1.0	-0.2929915833249217
1.00625	-0.2955521383916988
1.0125	-0.2979803507668667
1.01875	-0.300276465246278
1.0250000000000001	-0.3024408544618712
1.03125	-0.30447401786783096
1.0375	-0.30637658077522867
1.04375	-0.30814929316836137
1.05	-0.30979302842199624
1.0562500000000001	-0.3113087819033677
1.0625	-0.31269766946321814
1.06875	-0.3139609258131712
1.075	-0.31509990279257205
1.08125	-0.3161160675267918
1.0875000000000001	-0.31701100049172826
1.09375	-0.31778639345731213
1.1	-0.318444047334788
1.10625	-0.3189858699254527
