# ts tempo_betaInf
# ts	tempo_betaInf
0.0	0.9999999999999947
0.00625	0.9998373551750828
0.0125	0.9993476388553698
0.018750000000000003	0.9985312812543902
0.025	0.9973889984591928
0.03125	0.9959217924091525
0.037500000000000006	0.9941309498589646
0.043750000000000004	0.9920180410564454
0.05	0.9895849181094725
0.05625	0.9868337130839243
0.0625	0.9837668358060607
0.06875	0.9803869713646886
0.07500000000000001	0.9766970773251199
0.08125	0.9727003806622713
0.08750000000000001	0.9684003744318886
0.09375	0.9638008142065317
0.1	0.9589057141981907
0.10625000000000001	0.9537193431113403
0.1125	0.9482462197801499
0.11875000000000001	0.9424911085641519
0.125	0.9364590145188436
0.13125	0.930155177801824
0.1375	0.9235850687436921
0.14375000000000002	0.9167543821024445
0.15000000000000002	0.9096690312038299
0.15625	0.9023351418774306
0.1625	0.8947590461800511
0.16875	0.8869472759050041
0.17500000000000002	0.8789065558913515
0.18125000000000002	0.8706437971441663
0.1875	0.8621660897634672
0.19375	0.8534806957037068
0.2	0.8445950413602954
0.20625000000000002	0.835516710002013
0.21250000000000002	0.826253434039257
0.21875	0.8168130871536542
0.225	0.8072036763025364
0.23125	0.7974333335661745
0.23750000000000002	0.7875103078825177
0.24375000000000002	0.7774429566731584
0.25	0.7672397374432918
0.25625000000000003	0.7569091991997509
0.2625	0.746459973851141
0.26875	0.7359007674793283
0.275	0.725240351417697
0.28125	0.7144875534049402
0.28750000000000003	0.7036512487460965
0.29375	0.6927403518116982
0.30000000000000004	0.6817638067976911
0.30625	0.6707305787628061
0.3125	0.659649644735998
0.31875000000000003	0.6485299847689258
0.325	0.6373805730071238
0.33125000000000004	0.626210368787694
0.3375	0.6150283077749927
0.34375	0.6038432931404527
0.35000000000000003	0.5926641867962404
0.35625	0.5814998006910902
0.36250000000000004	0.5703588881753789
0.36875	0.5592501354437047
0.375	0.548182153070972
0.38125000000000003	0.5371634676456557
0.3875	0.5262025135116007
0.39375000000000004	0.5153076246267162
0.4	0.5044870265472791
0.40625	0.4937488285462073
0.41250000000000003	0.4831010158740887
0.41875	0.47255144217092765
0.42500000000000004	0.46210782203641976
0.43125	0.45177772376647923
0.4375	0.44156856226389274
0.44375000000000003	0.4314875921302051
0.45	0.4215419009463785
0.45625000000000004	0.4117384027492485
0.4625	0.40208383170947765
0.46875	0.39258473601967836
