# ts ed_betaInf_lt1
# ts	ed_betaInf_lt1
0.0	1.0000000000000069
0.0125	0.9995947286227024
0.025	0.9983801481955021
0.037500000000000006	0.9963599554531583
0.05	0.9935402970372307
0.0625	0.9899297476790481
0.07500000000000001	0.9855392797703997
0.08750000000000001	0.9803822244348219
0.1	0.9744742242458578
0.1125	0.9678331777688192
0.125	0.9604791761324899
0.1375	0.9524344318688748
0.15000000000000002	0.9437232002853437
0.1625	0.9343716936638973
0.17500000000000002	0.9244079886068047
0.1875	0.9138619268744388
0.2	0.9027650100850774
0.21250000000000002	0.8911502886694403
0.225	0.8790522454920906
0.23750000000000002	0.8665066745747745
0.25	0.8535505553713306
0.2625	0.8402219230619984
0.275	0.826559735349045
0.28750000000000003	0.8126037362478108
0.30000000000000004	0.798394317378107
0.3125	0.7839723772699589
0.325	0.7693791792041917
0.3375	0.7546562081135421
0.35000000000000003	0.7398450270718885
0.36250000000000004	0.7249871339011901
0.375	0.710123818424193
0.3875	0.6952960208864574
0.4	0.6805441920683313
0.41250000000000003	0.6659081555983859
0.42500000000000004	0.6514269729712081
0.4375	0.6371388117627912
0.45	0.6230808175207825
0.4625	0.6092889897960337
0.47500000000000003	0.5957980627621788
0.48750000000000004	0.5826413908535514
0.5	0.5698508398316126
0.5125000000000001	0.557456683668954
0.525	0.545487507616208
0.5375	0.5339701177950362
0.55	0.5229294576329675
0.5625	0.5123885314306099
0.5750000000000001	0.5023683353237568
0.5875	0.4928877958745655
0.6000000000000001	0.48396371649572467
0.6125	0.47561073188314634
0.625	0.46784127060008573
0.6375000000000001	0.4606655259255769
0.65	0.4540914350481934
0.6625000000000001	0.44812466665381395
0.675	0.44276861692520986
0.6875	0.43802441393787134
0.7000000000000001	0.4338909304057675
0.7125	0.4303648046986703
0.7250000000000001	0.4274404700216333
0.7375	0.425110191615903
0.75	0.4233641118114525
0.7625000000000001	0.4221903027307193
0.775	0.4215748264157584
0.7875000000000001	0.4215018021218659
0.8	0.4219534804960197
0.8125	0.42291032433133724
0.8250000000000001	0.4243510955654129
0.8375	0.4262529481679065
0.8500000000000001	0.428591526539801
0.8625	0.43134106902905595
0.875	0.4344745161467898
0.8875000000000001	0.43796362305340275
0.9	0.4417790758672603
0.9125000000000001	0.4458906113368669
0.925	0.45026713940531493
0.9375	0.45487686818617923
0.9500000000000001	0.4596874308623893
0.9625	0.46466601401467084
0.9750000000000001	0.4697794868807658
0.9875	0.4749945310465075
1.0	0.4802777700683333
1.0125	0.4855958985299507
1.0250000000000001	0.49091581003940876
1.0375	0.49620472367826585
1.05	0.5014303084231811
1.0625	0.5065608050689698
1.075	0.5115651451937129
1.0875000000000001	0.5164130667204083
1.1	0.5210752256431173
1.1125	0.5255233035035255
1.125	0.5297301102205281
1.1375	0.5336696818961771
1.1500000000000001	0.5373173732410809
1.1625	0.5406499442860319
1.175	0.5436456410686792
1.1875	0.5462842700100157
1.2000000000000002	0.548547265720381
1.2125000000000001	0.550417752001448
1.225	0.5518805958385791
1.2375	0.5529224542056999
1.25	0.5535318135337277
1.2625000000000002	0.5536990217232075
1.2750000000000001	0.553416312611156
1.2875	0.5526778228323952
1.3	0.551479601045292
1.3125	0.5498196095229128
