0.000000000000000000e+00 3.009116358339986586e-01
2.500000000000000000e-01 2.645505553568594515e-01
5.000000000000000000e-01 2.351583621713308481e-01
7.500000000000000000e-01 2.110399878928383988e-01
1.000000000000000000e+00 1.909523247454580075e-01
1.250000000000000000e+00 1.739788497245410570e-01
1.500000000000000000e+00 1.594399356270793378e-01
1.750000000000000000e+00 1.468283087313545510e-01
2.000000000000000000e+00 1.357625271717553261e-01
2.250000000000000000e+00 1.259524612595404880e-01
2.500000000000000000e+00 1.171779573323919743e-01
2.750000000000000000e+00 1.092667539196413296e-01
3.000000000000000000e+00 1.020865402646075060e-01
3.250000000000000000e+00 9.553246949678950717e-02
3.500000000000000000e+00 8.952089428369572333e-02
3.750000000000000000e+00 8.398417589391855842e-02
4.000000000000000000e+00 7.886702485724381151e-02
4.250000000000000000e+00 7.412362281066831038e-02
4.500000000000000000e+00 6.971544749240145278e-02
4.750000000000000000e+00 6.561037633707191008e-02
5.000000000000000000e+00 6.178062375925325034e-02
5.250000000000000000e+00 5.820232029846070937e-02
5.500000000000000000e+00 5.485474537745888696e-02
5.750000000000000000e+00 5.171963299685199827e-02
6.000000000000000000e+00 4.878057501750752978e-02
6.250000000000000000e+00 4.602272572622791158e-02
6.500000000000000000e+00 4.343305989019985436e-02
6.750000000000000000e+00 4.100020261559431806e-02
7.000000000000000000e+00 3.871291966477481694e-02
7.250000000000000000e+00 3.656160631989341381e-02
7.500000000000000000e+00 3.453720482168452788e-02
7.750000000000000000e+00 3.263049290080152071e-02
8.000000000000000000e+00 3.083513605648307079e-02
8.250000000000000000e+00 2.914370450814580960e-02
8.500000000000000000e+00 2.754931616913151166e-02
8.750000000000000000e+00 2.604592235985426010e-02
9.000000000000000000e+00 2.462798075325080271e-02
9.250000000000000000e+00 2.329071714122421533e-02
9.500000000000000000e+00 2.202906332110643114e-02
9.750000000000000000e+00 2.083877110333897872e-02
1.000000000000000000e+01 1.971531823105376544e-02
1.025000000000000000e+01 1.865447302845292532e-02
1.050000000000000000e+01 1.765256286898219187e-02
1.075000000000000000e+01 1.670619669155854262e-02
1.100000000000000000e+01 1.581174907256955794e-02
1.125000000000000000e+01 1.496651871421771085e-02
1.150000000000000000e+01 1.416773754564989822e-02
1.175000000000000000e+01 1.341272607550265603e-02
1.200000000000000000e+01 1.269914293270840537e-02
1.225000000000000000e+01 1.202425205360509175e-02
1.250000000000000000e+01 1.138617151356906103e-02
1.275000000000000000e+01 1.078308992973910432e-02
1.300000000000000000e+01 1.021270602116919682e-02
1.325000000000000000e+01 9.673247497089681318e-03
1.350000000000000000e+01 9.163318804805257317e-03
1.375000000000000000e+01 8.680794795687653276e-03
1.400000000000000000e+01 8.224469557229779557e-03
1.425000000000000000e+01 7.792925877222333861e-03
1.450000000000000000e+01 7.384740650164551418e-03
1.475000000000000000e+01 6.998512229066781304e-03
1.500000000000000000e+01 6.633076361316219034e-03
1.525000000000000000e+01 6.287265821049879341e-03
1.550000000000000000e+01 5.959870833582184974e-03
1.575000000000000000e+01 5.650004832104455789e-03
1.600000000000000000e+01 5.356466438643020175e-03
1.625000000000000000e+01 5.078616039310556753e-03
1.650000000000000000e+01 4.815432707275766298e-03
1.675000000000000000e+01 4.566141525539679606e-03
1.700000000000000000e+01 4.329987274025531852e-03
1.725000000000000000e+01 4.106332889197026638e-03
1.750000000000000000e+01 3.894412520746927658e-03
1.775000000000000000e+01 3.693601867207123735e-03
1.800000000000000000e+01 3.503437342210781718e-03
1.825000000000000000e+01 3.323259314084463147e-03
1.850000000000000000e+01 3.152560401398382846e-03
1.875000000000000000e+01 2.990811377924579122e-03
1.900000000000000000e+01 2.837528645900805249e-03
1.925000000000000000e+01 2.692207657996703411e-03
1.950000000000000000e+01 2.554435576455348599e-03
