# ts JC_ED
# ts	Z
0.0	1.0
0.05	0.9948779206748297
0.1	0.9795670011111162
0.15000000000000002	0.9542325927263468
0.2	0.9191482750955126
0.25	0.8746928698169373
0.30000000000000004	0.821346305759033
0.35000000000000003	0.759684380919929
0.4	0.6903724782017994
0.45	0.6141583038443632
0.5	0.5318637279521269
0.55	0.4443758163705566
0.6000000000000001	0.35263715200993195
0.65	0.2576355514854294
0.7000000000000001	0.16039328955291254
0.75	0.06195594919968506
0.8	-0.036618980660821074
0.8500000000000001	-0.13427363518648575
0.9	-0.2299613052020849
0.9500000000000001	-0.3226578442890359
1.0	-0.41137282663546465
1.05	-0.4951603336479931
1.1	-0.573129251396957
1.1500000000000001	-0.6444529663275916
1.2000000000000002	-0.7083783532622729
1.25	-0.7642339574710043
1.3	-0.8114372814140477
1.35	-0.8495010965652592
1.4000000000000001	-0.8780387113999181
1.4500000000000002	-0.8967681380597251
1.5	-0.9055151122650639
1.55	-0.9042149335985049
1.6	-0.8929131061964881
1.6500000000000001	-0.8717647730167067
1.7000000000000002	-0.8410329500532315
1.75	-0.8010855800052814
1.8	-0.7523914378250016
1.85	-0.6955149331332329
1.9000000000000001	-0.6311098665625459
1.9500000000000002	-0.5599122085316651
2.0	-0.4827319796495713
2.0500000000000003	-0.40044432177403966
2.1	-0.31397985760064134
2.15	-0.22431444443744947
2.2	-0.13245843444282454
2.25	-0.039445558996249776
2.3000000000000003	0.05367844102370163
2.35	0.1458673145092804
2.4000000000000004	0.23608580298911108
2.45	0.32332102110854705
2.5	0.406593590094578
2.5500000000000003	0.48496840228962473
2.6	0.5575648988875261
2.6500000000000004	0.6235667483438396
2.7	0.682230819502683
2.75	0.7328953512118377
2.8000000000000003	0.7749872290018085
2.85	0.8080282891867541
2.9000000000000004	0.8316405813983165
2.95	0.8455505319707927
3.0	0.849591962632892
3.0500000000000003	0.8437079314956264
3.1	0.8279513762205035
3.1500000000000004	0.802484552365953
3.2	0.7675772730992338
3.25	0.7236039695815935
3.3000000000000003	0.6710396042425841
3.35	0.6104544817139048
3.4000000000000004	0.5425080142565643
3.45	0.4679415099555896
3.5	0.38757006264871385
3.5500000000000003	0.30227363238263666
3.6	0.21298741404495278
3.6500000000000004	0.12069159960500159
3.7	0.02640064602755034
3.75	-0.06884783367306611
3.8000000000000003	-0.16400443465293388
3.85	-0.2580194553603319
3.9000000000000004	-0.3498543977613059
3.95	-0.4384933468219573
4.0	-0.5229541047285328
4.05	-0.6022989580167056
4.1000000000000005	-0.6756449598047622
4.15	-0.7421736146371642
4.2	-0.8011398599871506
4.25	-0.8518802461677936
4.3	-0.8938202251759155
4.3500000000000005	-0.9264804687463045
4.4	-0.94948214651793
4.45	-0.9625511065930376
4.5	-0.9655209127793982
4.55	-0.9583347053142417
4.6000000000000005	-0.9410458647385296
4.65	-0.9138174716813586
4.7	-0.8769205684832228
4.75	-0.8307312416894763
4.800000000000001	-0.7757265573382944
4.8500000000000005	-0.7124793935097368
4.9	-0.6416522266569438
4.95	-0.5639899396753173
5.0	-0.4803117303556768
5.050000000000001	-0.39150220869601593
5.1000000000000005	-0.29850178040627645
5.15	-0.2022964217345724
5.2	-0.10390695738666611
5.25	-0.004377958730466207
5.300000000000001	0.09523361638504851
5.3500000000000005	0.1938699180568904
5.4	0.2904837074093934
5.45	0.38404974265953135
5.5	0.4735759237918532
5.550000000000001	0.5581140741243696
5.6000000000000005	0.6367702410331612
5.65	0.7087144033768245
5.7	0.7731894796640687
5.75	0.8295195386677671
5.800000000000001	0.8771171229223671
5.8500000000000005	0.9154896052531855
5.9	0.9442445090693753
5.95	0.9630937344912865
6.0	0.9718566443535351
6.050000000000001	0.9704619765961883
6.1000000000000005	0.9589485623916947
6.15	0.9374648424140518
6.2	0.9062671867963669
6.25	0.8657170373997315
6.300000000000001	0.8162769038871877
6.3500000000000005	0.7585052576208037
6.4	0.6930503794405818
6.45	0.6206432288095626
6.5	0.5420894124951483
6.550000000000001	0.4582603407856895
6.6000000000000005	0.3700836681064388
6.65	0.2785331227032566
6.7	0.1846178367208833
6.75	0.08937129344250616
6.800000000000001	-0.006159987380447022
6.8500000000000005	-0.10092790234019126
6.9	-0.19389423007269269
6.95	-0.28404198447694373
7.0	-0.3703865313396132
7.050000000000001	-0.45198634686331035
7.1000000000000005	-0.5279533005367254
7.15	-0.5974623500096413
7.2	-0.6597605420877382
7.25	-0.7141752215706673
7.300000000000001	-0.7601213583384124
7.3500000000000005	-0.7971079127505168
7.4	-0.8247431699544899
7.45	-0.8427389849882424
7.5	-0.850913892483281
7.550000000000001	-0.8491950472000317
7.6000000000000005	-0.8376189744182281
7.65	-0.8163311222237963
7.7	-0.7855842208367722
7.75	-0.7457354671692011
7.800000000000001	-0.6972425656451335
7.8500000000000005	-0.6406586688163112
7.9	-0.5766262733304184
7.95	-0.5058701382224658
8.0	-0.4291893031792818
8.05	-0.3474482942556785
8.1	-0.2615676133913762
8.15	-0.17251361589324402
8.200000000000001	-0.08128788672297409
8.25	0.011083768107290087
8.3	0.10356259453853163
8.35	0.19510830450258787
8.4	0.28469050610580765
8.450000000000001	0.3713000249125169
8.5	0.4539599924914836
8.55	0.5317365809510446
8.6	0.6037492660763303
8.65	0.6691805068522666
8.700000000000001	0.7272847355517899
8.75	0.7773965601202013
8.8	0.8189380892107078
8.85	0.8514252998287377
8.9	0.8744733780183961
8.950000000000001	0.8878009742586608
9.0	0.8912333271069453
9.05	0.8847042210033752
9.1	0.8682567568954197
9.15	0.842042927319906
9.200000000000001	0.8063220006461266
9.25	0.7614577321969193
9.3	0.707914432782065
9.35	0.6462519376601672
9.4	0.577119530954834
9.450000000000001	0.5012488919577095
9.5	0.4194461404297083
9.55	0.332583067846621
9.600000000000001	0.2415876504184992
9.65	0.14743394754702907
9.700000000000001	0.05113149608631369
9.75	-0.04628568373319485
9.8	-0.14377035063013271
9.850000000000001	-0.24027344984409738
9.9	-0.33475554137999786
9.950000000000001	-0.4261981241406169
