# ts	z0
0.0	0.4999999999999979
0.05	0.49926585424052417
0.1	0.4969771845652118
0.15000000000000002	0.49316162440252365
0.2	0.48786454095449994
0.25	0.4811475254830904
0.30000000000000004	0.47308637055473673
0.35000000000000003	0.4637686223664387
0.4	0.453290814905265
0.45	0.4417555052943401
0.5	0.4292682359180205
0.55	0.4159345510295244
0.6000000000000001	0.40185718836662143
0.65	0.38713356088099604
0.7000000000000001	0.37185362069623823
0.75	0.35609818337425164
0.8	0.3399377643837859
0.8500000000000001	0.32343195507888156
0.9	0.30662933967825956
0.9500000000000001	0.2895679302580532
1.0	0.27227607055918956
1.05	0.25477374263500235
1.1	0.23707418655232276
1.1500000000000001	0.2191857467093767
1.2000000000000002	0.20111382994786248
1.25	0.18286287695936024
1.3	0.16443824377985605
1.35	0.14584789694367473
1.4000000000000001	0.12710383715697776
1.4500000000000002	0.1082232289343456
1.5	0.08922914034898971
1.55	0.07015089646560102
1.6	0.051024042529676975
1.6500000000000001	0.03188993454631711
1.7000000000000002	0.012794999357413479
1.75	-0.006210286994027866
1.8	-0.025072632143561962
1.85	-0.04373729375938158
1.9000000000000001	-0.06214950418237284
1.9500000000000002	-0.08025586442891856
2.0	-0.09800564791253527
2.0500000000000003	-0.11535193412907044
2.1	-0.13225252512883054
2.15	-0.14867060066637677
2.2	-0.16457508941050994
2.25	-0.1799407505987923
2.3000000000000003	-0.1947479741097026
2.35	-0.2089823242849865
2.4000000000000004	-0.2226338654924897
2.45	-0.2356963204582717
2.5	-0.24816611681395406
2.5500000000000003	-0.26004138500087015
2.6	-0.2713209685489596
2.6500000000000004	-0.2820035055885064
2.7	-0.2920866346525811
2.75	-0.30156636623840033
2.8000000000000003	-0.31043665444667673
2.85	-0.31868918675741087
2.9000000000000004	-0.3263133970764254
2.95	-0.3332966950095395
3.0	-0.33962489101837656
3.0500000000000003	-0.34528278142835805
3.1	-0.3502548616667558
3.1500000000000004	-0.3545261151270897
3.2	-0.3580828263623084
3.25	-0.36091337522497513
3.3000000000000003	-0.36300895794926413
3.35	-0.36436419549952276
3.4000000000000004	-0.36497759530318274
3.45	-0.36485183978053376
3.5	-0.3639938887696276
3.5500000000000003	-0.3624148963957703
3.6	-0.3601299441902371
3.6500000000000004	-0.3571576122218617
3.7	-0.3535194221419287
3.75	-0.3492391853249526
3.8000000000000003	-0.34434228334009775
3.85	-0.3388549401640937
3.9000000000000004	-0.3328035211490938
3.95	-0.3262138969791428
4.0	-0.31911091094216104
4.05	-0.3115179737399592
4.1000000000000005	-0.303456801924305
4.15	-0.2949473181498987
4.2	-0.28600770486552196
4.25	-0.2766546025657007
4.3	-0.26690344176874364
4.3500000000000005	-0.25676887558437866
4.4	-0.24626528438204243
4.45	-0.23540731429475345
4.5	-0.22421041796958546
4.55	-0.21269135719709104
4.6000000000000005	-0.20086863707419558
4.65	-0.18876284142723337
4.7	-0.17639684913835266
4.75	-0.1637959171406157
4.800000000000001	-0.1509876248686864
4.8500000000000005	-0.13800168393501464
4.9	-0.12486962294804266
4.95	-0.11162436720676695
