# ts chi10 chi20 chi30 chi40 chi50 chi60
# ts	gt0	gt0	gt0	gt0	gt0	gt0
0.0	1.36345380730049	1.4339967715767172	1.4599837267461173	1.460908917823731	1.469555649511701	1.4718937455500538
0.05	1.2067938630026647	1.2672828551201671	1.2884212118470648	1.2923565741594099	1.2986005872052464	1.3007703042069012
0.1	1.084210358808698	1.1382943436774313	1.156427490616765	1.1623519486532978	1.1671096209169025	1.1692126592775638
0.15000000000000002	0.9872702823175996	1.037266398560355	1.0535752481957261	1.060830604896568	1.0646757445482764	1.0667767462486377
0.2	0.9097933577728698	0.9571906093252804	0.9724360271322372	0.9805871239956833	0.9838843314615855	0.9860234458949241
0.25	0.8472101243708878	0.8929741292123946	0.9076477127728594	0.9163994028819842	0.9193830508988738	0.9215844097988486
0.30000000000000004	0.7961284575817669	0.8408782129114858	0.8552960390166885	0.8644434215056868	0.8672636806358965	0.8695417136760911
0.35000000000000003	0.7539949330546226	0.7981323805214091	0.8124933442259116	0.8218914275835119	0.8246449929763309	0.8270055597773037
0.4	0.7188816889057683	0.7626639615871595	0.777090181218218	0.7866358104301767	0.7893834179983487	0.7918260914216716
0.45	0.6893210651261555	0.7329076519604535	0.7474730932979116	0.7570911727030886	0.7598705818622508	0.762391633021553
0.5	0.6641869738345086	0.7076690780757475	0.7224212320027298	0.7320557460716618	0.7348904418098239	0.7374844358190102
0.55	0.6426091773598795	0.68604343636484	0.7010038024977807	0.7106124083899685	0.7135163021697408	0.7161771673591868
0.6000000000000001	0.6239104511891055	0.6673310035458938	0.6825057457815674	0.6920564863378327	0.6950369826462959	0.6977583089434091
0.65	0.6075600563645212	0.6509883146487209	0.6663733859102992	0.6758426632866923	0.6789024230258762	0.6816783274705622
0.7000000000000001	0.5931389819852627	0.6365899364797224	0.652175671923509	0.6615460215146743	0.6646844371414626	0.6675097107664298
0.75	0.5803137478755778	0.6238004070431179	0.6395748453171417	0.648833070762532	0.6520475263310693	0.654917387631706
0.8	0.5688164902575702	0.6123533913968087	0.6283038282751274	0.6374400858034733	0.6407269196157557	0.6436368647293234
0.8500000000000001	0.5584297619707052	0.6020359814642979	0.6181497144906615	0.6271569528171579	0.6305120211587573	0.6334578691117659
