# ts TEMPO
# ts	Z
0.0	2.972584885489112e-05
0.05	-0.00022813616808025177
0.1	-0.0009903636400993084
0.15000000000000002	-0.0022670240613578843
0.2	-0.004074167932389724
0.25	-0.006433083118577784
0.30000000000000004	-0.009369287101389465
0.35000000000000003	-0.012911292153390387
0.4	-0.017089179003653917
0.45	-0.021933046308854006
0.5	-0.02747134221950053
0.55	-0.03372917340768718
0.6000000000000001	-0.040726618012091285
0.65	-0.048477117392809854
0.7000000000000001	-0.05698597001088478
0.75	-0.0662490078426862
0.8	-0.07625146896697114
0.8500000000000001	-0.08696711748054153
0.9	-0.09835763968939291
0.9500000000000001	-0.11037235817560583
1.0	-0.12294822136274228
1.05	-0.13601011237725727
1.1	-0.1494714864513754
1.1500000000000001	-0.16323533067147025
1.2000000000000002	-0.17719538722187192
1.25	-0.19123759629346274
1.3	-0.20524184772169254
1.35	-0.2190838476279861
1.4000000000000001	-0.2326371621036506
1.4500000000000002	-0.24577531196565594
1.5	-0.2583740105295232
1.55	-0.27031324330210527
1.6	-0.2814794001454271
1.6500000000000001	-0.29176727336444547
1.7000000000000002	-0.30108185945135446
1.75	-0.30934006168855605
1.8	-0.31647197331936383
1.85	-0.3224220792386473
1.9000000000000001	-0.3271501257823636
1.9500000000000002	-0.3306315497438411
2.0	-0.3328576422072868
2.0500000000000003	-0.33383555567947937
2.1	-0.33358768976656594
2.15	-0.3321510057838877
2.2	-0.32957587919689435
2.25	-0.32592478244150114
2.3000000000000003	-0.3212709110422219
2.35	-0.3156962427404996
2.4000000000000004	-0.3092897703281598
2.45	-0.3021455485739499
2.5	-0.2943608766220299
2.5500000000000003	-0.2860339861066572
2.6	-0.27726244485291707
2.6500000000000004	-0.26814120232499566
2.7	-0.2587609746998529
2.75	-0.24920690162076362
2.8000000000000003	-0.2395572820217823
2.85	-0.22988242667905623
2.9000000000000004	-0.22024421527947508
2.95	-0.210695481359529
3.0	-0.2012799750322045
3.0500000000000003	-0.1920324125285214
3.1	-0.18297889632646244
3.1500000000000004	-0.17413753744081908
3.2	-0.16551933610462238
3.25	-0.15712901896483097
3.3000000000000003	-0.14896647071633048
3.35	-0.14102776679255025
3.4000000000000004	-0.13330656389130385
3.45	-0.12579546752072712
3.5	-0.11848734997749082
3.5500000000000003	-0.11137655502651594
3.6	-0.1044600718278021
3.6500000000000004	-0.09773853410751931
3.7	-0.09121714012474338
3.75	-0.08490619231711
3.8000000000000003	-0.07882162644780724
3.85	-0.07298521495058313
3.9000000000000004	-0.06742458026994348
3.95	-0.06217294059271054
4.0	-0.057268689672120655
4.05	-0.05275472442631144
4.1000000000000005	-0.04867760978291143
4.15	-0.04508655362605176
4.2	-0.04203223584528168
4.25	-0.03956563335374616
4.3	-0.0377367137976295
4.3500000000000005	-0.03659272035648681
4.4	-0.03617725800262183
4.45	-0.036528697669469604
4.5	-0.03767900914807144
4.55	-0.0396525921636488
4.6000000000000005	-0.0424652888436399
4.65	-0.046123555003418575
4.7	-0.050623830897618495
4.75	-0.05595211070811263
4.800000000000001	-0.06208376496468671
4.8500000000000005	-0.06898360056597276
4.9	-0.07660615091454505
4.95	-0.08489620011285155
