# ts ED
# ts	Z
0.0	-2.7755575615628914e-17
0.05	-0.00025027740676116384
0.1	-0.001004418222792872
0.15000000000000002	-0.0022721968589944695
0.2	-0.004069404220783013
0.25	-0.006417114711381675
0.30000000000000004	-0.009340692821722429
0.35000000000000003	-0.012868570808415828
0.4	-0.017030836182727004
0.45	-0.02185767371394753
0.5	-0.02737771121255041
0.55	-0.03361632137534488
0.6000000000000001	-0.040593933374843044
0.65	-0.04832440764136522
0.7000000000000001	-0.05681352545609417
0.75	-0.06605764163352748
0.8	-0.07604254385429049
0.8500000000000001	-0.08674255628399763
0.9	-0.09811991818067745
0.9500000000000001	-0.11012446047441478
1.0	-0.12269359503392514
1.05	-0.13575262275746816
1.1	-0.14921535797929122
1.1500000000000001	-0.16298505819967352
1.2000000000000002	-0.17695564004401593
1.25	-0.19101315483403108
1.3	-0.20503749038971403
1.35	-0.2189042598278768
1.4000000000000001	-0.2324868333095351
1.4500000000000002	-0.2456584650151087
1.5	-0.25829446516689847
1.55	-0.27027436571892777
1.6	-0.281484028413813
1.6500000000000001	-0.2918176452569304
1.7000000000000002	-0.30117958404486567
1.75	-0.3094860353471419
1.8	-0.31666642219059027
1.85	-0.32266453952317065
1.9000000000000001	-0.32743939720298093
1.9500000000000002	-0.3309657476114688
2.0	-0.3332342868500456
2.0500000000000003	-0.33425152665252095
2.1	-0.33403934242452415
2.15	-0.332634210989914
2.2	-0.33008615946389464
2.25	-0.32645745396712916
2.3000000000000003	-0.3218210634378748
2.35	-0.3162589393991801
2.4000000000000004	-0.30986015702800385
2.45	-0.3027189661140625
2.5	-0.29493280238498604
2.5500000000000003	-0.2866003101473314
2.6	-0.27781942622990696
2.6500000000000004	-0.26868557284117695
2.7	-0.25929000323663576
2.75	-0.24971833914823657
2.8000000000000003	-0.240049332910422
2.85	-0.23035388031453405
2.9000000000000004	-0.22069430265300963
2.95	-0.21112390841438985
3.0	-0.2016868369097349
3.0500000000000003	-0.1924181780031492
3.1	-0.18334435433029994
3.1500000000000004	-0.17448374515040335
3.2	-0.1658475244980981
3.25	-0.15744068076106735
3.3000000000000003	-0.14926318035156855
3.35	-0.14131123487115374
3.4000000000000004	-0.13357862915288002
3.45	-0.126058066828276
3.5	-0.1187424905916096
3.5500000000000003	-0.11162633606798919
3.6	-0.10470668104815363
3.6500000000000004	-0.09798425571502195
3.7	-0.09146428421604945
3.75	-0.08515713337306151
3.8000000000000003	-0.07907875029772528
3.85	-0.07325087701892236
3.9000000000000004	-0.06770103674970332
3.95	-0.06246229295057417
4.0	-0.05757278871455945
4.05	-0.05307508005017738
4.1000000000000005	-0.0490152822274651
4.15	-0.04544205335164016
4.2	-0.04240544362851991
4.25	-0.03995564229439659
4.3	-0.03814165682919108
4.3500000000000005	-0.037009960804411074
4.4	-0.03660314750684741
4.45	-0.03695862631540319
4.5	-0.038107397704221835
4.55	-0.040072940731946054
4.6000000000000005	-0.04287024400748313
4.65	-0.046505007468363814
4.7	-0.05097303795893634
4.75	-0.05625985665900677
4.800000000000001	-0.06234053101115517
4.8500000000000005	-0.06917973806126944
4.9	-0.07673206020656281
4.95	-0.08494250838947068
