# ts	z0
0.0	0.5000000000000109
0.0125	0.499950162643081
0.025	0.499800659250412
0.037500000000000006	0.4995516068029347
0.05	0.4992031965657511
0.0625	0.49875569845393813
0.07500000000000001	0.4982094554456176
0.08750000000000001	0.49756488708029356
0.1	0.49682248525083894
0.1125	0.4959828170896451
0.125	0.4950465180028718
0.1375	0.4940142983372583
0.15000000000000002	0.4928869343648094
0.1625	0.4916652717846523
0.17500000000000002	0.4903502202000212
0.1875	0.4889427556500197
0.2	0.48744391385888614
0.21250000000000002	0.4858547923823708
0.225	0.4841765415515531
0.23750000000000002	0.48241036587912645
0.25	0.48055753423005954
0.2625	0.4786193542498699
0.275	0.47659718412989727
0.28750000000000003	0.4744924258001976
0.30000000000000004	0.4723065244457916
0.3125	0.47004096383498917
0.325	0.46769726327321015
0.3375	0.4652769743788445
0.35000000000000003	0.4627816805144398
0.36250000000000004	0.4602129918061666
0.375	0.4575725416129793
0.3875	0.45486198014158835
0.4	0.4520829929321698
0.41250000000000003	0.44923724903887996
0.42500000000000004	0.44632646266612347
0.4375	0.443352332286135
0.45	0.4403165764942487
0.4625	0.43722090322556156
0.47500000000000003	0.43406703413369013
0.48750000000000004	0.4308566755930212
0.5	0.427591535764831
0.5125000000000001	0.4242733064465091
0.525	0.4209036763628505
0.5375	0.41748431176440237
0.55	0.41401686487743716
0.5625	0.4105029715914945
0.5750000000000001	0.40694423636866345
0.5875	0.4033422529224045
0.6000000000000001	0.3996985753253911
0.6125	0.39601473514604846
0.625	0.39229223448492667
0.6375000000000001	0.3885325501893699
0.65	0.3847370976756612
0.6625000000000001	0.38090729220529146
0.675	0.3770444886334103
0.6875	0.3731500140548624
0.7000000000000001	0.36922514291155906
0.7125	0.3652711179850516
0.7250000000000001	0.3612891491472345
0.7375	0.3572803870804521
0.75	0.3532459326831461
0.7625000000000001	0.3491868890706444
0.775	0.34510424335922174
0.7875000000000001	0.34099899700747693
0.8	0.3368720894514714
0.8125	0.3327244135622331
0.8250000000000001	0.3285568104890735
0.8375	0.3243700738388024
0.8500000000000001	0.320164980586452
0.8625	0.31594224243993846
0.875	0.3117025404498686
0.8875000000000001	0.3074464922903341
0.9	0.30317468823876337
0.9125000000000001	0.29888769576518975
0.925	0.2945860216281707
0.9375	0.29027014799329626
0.9500000000000001	0.28594049907061897
0.9625	0.2815974810683941
0.9750000000000001	0.2772414882991565
0.9875	0.27287283924509226
1.0	0.2684918355712841
1.0125	0.26409876871759536
1.0250000000000001	0.259693896554475
1.0375	0.25527743573965345
1.05	0.2508495998805582
1.0625	0.2464105798761804
1.075	0.24196052648449737
1.0875000000000001	0.23749958251753403
1.1	0.23302789628884665
1.1125	0.22854557310363738
1.125	0.22405272268213267
1.1375	0.2195494547573201
1.1500000000000001	0.21503584808843848
1.1625	0.21051197938248412
1.175	0.2059779359346284
1.1875	0.20143380222687438
1.2000000000000002	0.19687965341696592
1.2125000000000001	0.19231559219465533
1.225	0.18774167119847043
1.2375	0.18315799471905847
1.25	0.17856466030531556
1.2625000000000002	0.1739617876257045
1.2750000000000001	0.16934947323304042
1.2875	0.16472786038510165
1.3	0.16009710735594435
1.3125	0.15545734365141778
1.3250000000000002	0.15080875643810068
1.3375000000000001	0.14615153019768168
1.35	0.14148589970537787
1.3625	0.13681210105503033
1.375	0.1321303448657366
1.3875000000000002	0.12744092636276264
1.4000000000000001	0.12274413764886358
1.4125	0.11804030230841141
1.425	0.11332976324058573
1.4375	0.10861287197231873
1.4500000000000002	0.10389003906553734
1.4625000000000001	0.09916169950152239
1.475	0.09442824207587963
1.4875	0.08969014724779815
1.5	0.08494790332127905
1.5125000000000002	0.08020200614013251
1.5250000000000001	0.07545303601941673
1.5375	0.07070156854739797
1.55	0.06594812108314571
1.5625	0.06119330842409729
1.5750000000000002	0.05643781213756343
1.5875000000000001	0.0516822716543623
1.6	0.04692733482512757
1.6125	0.04217370078487441
1.625	0.03742210296609951
1.6375000000000002	0.03267329396594212
1.6500000000000001	0.027927969692724597
1.6625	0.023186909551000834
1.675	0.01845090450658543
1.6875	0.013720770892477741
1.7000000000000002	0.008997304836741287
1.7125000000000001	0.004281337958726366
1.725	-0.00042631637180040827
