# ts n1 n2 n4 n6 n8
# ts	gt0	gt0	gt0	gt0	gt0
0.0	1.706787443187032	1.7180931430578115	1.7181678784167813	1.7181678784167813	1.7181678784167813
0.1	1.3345496690844136	1.3442118419191662	1.344209340094673	1.344209340094673	1.344209340094673
0.2	1.1203890056831616	1.1299957626853265	1.129857510932112	1.129857510932112	1.129857510932112
0.30000000000000004	0.9894190201773729	0.9985666558143046	0.9983010989567022	0.9983010989567022	0.9983010989567022
0.4	0.9043400024268726	0.9126029054932925	0.9122692299555649	0.9122692299555649	0.9122692299555649
0.5	0.8455735965586669	0.8529346644419719	0.8525904232789768	0.8525904232789768	0.8525904232789768
0.6000000000000001	0.8025493620072942	0.8093501824521452	0.8090434380591889	0.8090434380591889	0.8090434380591889
0.7000000000000001	0.7695064950268719	0.7763192549137801	0.7760843185450951	0.7760843185450951	0.7760843185450951
0.8	0.743382033085479	0.7509032648466032	0.7507682024180543	0.7507682024180543	0.7507682024180543
0.9	0.7227417075617021	0.7317492598620586	0.7317183145886013	0.7317183145886013	0.7317183145886013
