# ts k2 k3 k4 k5 k6 k7
# ts	gt0	gt0	gt0	gt0	gt0	gt0
0.0	1.5915936157529762	1.6410980435461557	1.6767224717902462	1.698532696270649	1.711126572448447	1.7181678784167813
0.1	1.2383042850994361	1.2794750767623524	1.3093506281003255	1.3276989557826069	1.338350989224722	1.344209340094673
0.2	1.0292737521789013	1.0681735611449177	1.0965720500386211	1.114131339577184	1.1244209829220566	1.129857510932112
0.30000000000000004	0.8955469408778581	0.9352308570217162	0.9642250985186439	0.9822462138407474	0.9928880521468971	0.9983010989567022
0.4	0.8042874465689945	0.8460086666409328	0.8764370072772569	0.8954130976716111	0.9066686031277033	0.9122692299555649
0.5	0.7388210019571728	0.7828286513343207	0.8148486873986394	0.8348410793135732	0.8467206224510337	0.8525904232789768
0.6000000000000001	0.6902457334914366	0.7362764387564072	0.7696875206528018	0.7905195357169763	0.8028901903025412	0.8090434380591889
0.7000000000000001	0.653606950905651	0.7011787390068401	0.7356176973072824	0.7570103624354608	0.7696676439134229	0.7760843185450951
0.8	0.6260356319569327	0.6746292716968427	0.7097039371211727	0.731382523899569	0.744113292616924	0.7507682024180543
0.9	0.6057771544256328	0.6549654249030366	0.6903862138575244	0.7121738175457637	0.7248572823885462	0.7317183145886013
