# ts gt0
# ts	gt0
0.0	1.702699448039472
0.025	1.5877940709639695
0.05	1.4890361010083937
0.07500000000000001	1.4037391673825632
0.1	1.3297254171939492
0.125	1.2652147505865967
0.15000000000000002	1.2087419243723136
0.17500000000000002	1.1590937175594032
0.2	1.1152604950038152
0.225	1.0763987322972892
0.25	1.041801518803387
0.275	1.0108748618288166
0.30000000000000004	0.9831183641766285
0.325	0.9581094012495173
0.35000000000000003	0.935490175570591
0.375	0.9149571106580623
0.4	0.8962521024196772
0.42500000000000004	0.8791552046970995
0.45	0.8634785741622667
0.47500000000000003	0.8490616347692708
0.5	0.8357670178161561
0.525	0.8234770589292488
0.55	0.8120908403410155
0.5750000000000001	0.8015217124746381
0.6000000000000001	0.7916952171914202
0.625	0.7825473419189886
0.65	0.7740230495493938
0.675	0.7660750462092286
0.7000000000000001	0.7586627355401836
0.7250000000000001	0.7517512963136608
0.75	0.7453108805804499
0.775	0.7393159916560228
0.8	0.7337449810690178
0.8250000000000001	0.7285797492165885
0.8500000000000001	0.7238056246065487
0.875	0.7194113623638816
0.9	0.7153891639720337
0.925	0.7117343960662385
0.9500000000000001	0.7084464509133697
0.9750000000000001	0.7055280807722605
