# ts d4 d5 d6 d7 d8
# ts	gt0	gt0	gt0	gt0	gt0
0.0	1.623132585216397	1.7059978980386639	1.7181678784167813	1.7180251084625335	1.7153369904582394
0.1	1.2520725245480673	1.3306959665779223	1.344209340094673	1.345357714215447	1.34647540800591
0.2	1.0476265779510914	1.1176765548856649	1.129857510932112	1.1315046711145555	1.1345711464868717
0.30000000000000004	0.9240345090903669	0.9872778103237329	0.9983010989567022	1.0001936410667587	1.0040420849973481
0.4	0.8438118458439097	0.9020702734110808	0.9122692299555649	0.9142114560202897	0.9180415616430223
0.5	0.7885510150595945	0.8430288548845878	0.8525904232789768	0.8543947131301199	0.8576296793959749
0.6000000000000001	0.7487151010580012	0.8000571897686645	0.8090434380591889	0.8105337719815531	0.8127277867743903
0.7000000000000001	0.7192904414326654	0.7676976480940791	0.7760843185450951	0.7771103727598103	0.7779376377167315
0.8	0.6977939852988551	0.7430619125965033	0.7507682024180543	0.7512181141942667	0.7505353467085669
0.9	0.6834635372432873	0.724848968078653	0.7317183145886013	0.7315860898419582	0.7295703761546516
