0.000000000000000000e+00 9.993691710288267194e-01 -1.592877861267030218e-04
5.000000000000000278e-02 9.972059431833629750e-01 2.470393605050220584e-02
1.000000000000000056e-01 9.932090239538752252e-01 4.956445081201533293e-02
1.500000000000000222e-01 9.873968097072335359e-01 7.439449702617542681e-02
2.000000000000000111e-01 9.797947577462225999e-01 9.916656308589717750e-02
2.500000000000000000e-01 9.704351866810585481e-01 1.238535509663672568e-01
3.000000000000000444e-01 9.593570248657844468e-01 1.484289223316392070e-01
3.500000000000000333e-01 9.466055103763274525e-01 1.728668204656637064e-01
4.000000000000000222e-01 9.322318484286322704e-01 1.971421642645445338e-01
4.500000000000000111e-01 9.162928313898967003e-01 2.212307117793771982e-01
5.000000000000000000e-01 8.988504258568857930e-01 2.451090903897111539e-01
5.500000000000000444e-01 8.799713388112420098e-01 2.687547983350427883e-01
6.000000000000000888e-01 8.597265590664610047e-01 2.921461709771290272e-01
6.500000000000000222e-01 8.381908963822385372e-01 3.152623134511818859e-01
7.000000000000000666e-01 8.154425001716387733e-01 3.380830188026959782e-01
7.500000000000000000e-01 7.915623819502909386e-01 3.605886497355700882e-01
8.000000000000000444e-01 7.666339432906359441e-01 3.827600056552660224e-01
8.500000000000000888e-01 7.407425090685738622e-01 4.045781750774335994e-01
9.000000000000000222e-01 7.139748677653100506e-01 4.260243772670410656e-01
9.500000000000000666e-01 6.864188340084504958e-01 4.470798041431289227e-01
1.000000000000000000e+00 6.581628154200164227e-01 4.677254609980339706e-01
1.050000000000000044e+00 6.292953976905553137e-01 4.879420148575104310e-01
1.100000000000000089e+00 5.999049444593071989e-01 5.077096548101974749e-01
1.150000000000000133e+00 5.700792115330368670e-01 5.270079684752665417e-01
1.200000000000000178e+00 5.399049744055123279e-01 5.458158381913006396e-01
1.250000000000000000e+00 5.094676677172688128e-01 5.641113596825100274e-01
1.300000000000000044e+00 4.788510351332530557e-01 5.818717850950252402e-01
1.350000000000000089e+00 4.481367881227752981e-01 5.990734913796580408e-01
1.400000000000000133e+00 4.174042722966353480e-01 6.156919741011814828e-01
1.450000000000000178e+00 3.867301402870286786e-01 6.317018658905256823e-01
1.500000000000000000e+00 3.561880306342019575e-01 6.470769779636244001e-01
1.550000000000000044e+00 3.258482526941666735e-01 6.617903625005562285e-01
1.600000000000000089e+00 2.957774783469896973e-01 6.758143930452145121e-01
1.650000000000000133e+00 2.660384418729805356e-01 6.891208598258794504e-01
1.700000000000000178e+00 2.366896504565182691e-01 7.016810764809303658e-01
1.750000000000000000e+00 2.077851077053285145e-01 7.134659950288280150e-01
1.800000000000000044e+00 1.793740491441729867e-01 7.244463249211431366e-01
1.850000000000000089e+00 1.515007149819514176e-01 7.345926548571266590e-01
