0.000000000000000000e+00 1.656796482386545447e-16 0.000000000000000000e+00
5.000000000000000278e-02 1.761082584438488781e-07 1.777010868456203608e-05
1.000000000000000056e-01 2.811239069290910955e-06 1.418675652378801580e-04
1.499999999999999944e-01 1.417738221361863618e-05 4.771591102603127106e-04
2.000000000000000111e-01 4.456809204053609240e-05 1.125617690917798432e-03
2.500000000000000000e-01 1.080646079326931871e-04 2.184943326104221272e-03
2.999999999999999889e-01 2.222197115660045047e-04 3.747263100133923965e-03
3.499999999999999778e-01 4.076700637677120359e-04 5.897933103326332901e-03
4.000000000000000222e-01 6.876900786162365919e-04 8.714462254902856711e-03
4.500000000000000111e-01 1.087702184311133483e-03 1.226557454046777774e-02
5.000000000000000000e-01 1.634759518604547929e-03 1.661042239498551967e-02
5.500000000000000444e-01 2.357017664912954436e-03 2.179795989791719416e-02
5.999999999999999778e-01 3.283211933583803435e-03 2.786648026340029713e-02
6.500000000000000222e-01 4.442155938251367807e-03 3.484331795086154093e-02
6.999999999999999556e-01 5.862275843664531590e-03 4.274471173285181169e-02
7.500000000000000000e-01 7.571192728158514414e-03 5.157582137109010395e-02
8.000000000000000444e-01 9.595363093439284938e-03 6.133088728875733114e-02
8.499999999999999778e-01 1.195978476857465986e-02 7.199351988866735386e-02
9.000000000000000222e-01 1.468777241154951493e-02 8.353710303254578695e-02
9.499999999999999556e-01 1.780080363860447878e-02 9.592529472069437346e-02
1.000000000000000000e+00 2.131843364241045591e-02 1.091126072213041281e-01
1.050000000000000044e+00 2.525827312840945790e-02 1.230450487944181881e-01
1.100000000000000089e+00 2.963602163228949704e-02 1.376608097095186611e-01
1.149999999999999911e+00 3.446554589759707327e-02 1.528909764145224837e-01
1.199999999999999956e+00 3.975899109229399930e-02 1.686602594008728140e-01
1.250000000000000000e+00 4.552691130810011810e-02 1.848877224276972986e-01
1.300000000000000044e+00 5.177840507490602540e-02 2.014875032052905746e-01
1.350000000000000089e+00 5.852124156680895556e-02 2.183695182711697658e-01
1.399999999999999911e+00 6.576196378169672785e-02 2.354401474918020043e-01
1.449999999999999956e+00 7.350595622058947454e-02 2.526028962607604345e-01
1.500000000000000000e+00 8.175746642730846725e-02 2.697590359158008599e-01
1.550000000000000044e+00 9.051957209992289588e-02 2.868082250498882324e-01
1.600000000000000089e+00 9.979408825742663858e-02 3.036491161464580091e-01
1.649999999999999911e+00 1.095814120248363860e-01 3.201799532483737831e-01
1.699999999999999956e+00 1.198803058605156652e-01 3.362991671168451546e-01
1.750000000000000000e+00 1.306876233558360301e-01 3.519059745195547984e-01
1.800000000000000044e+00 1.419979849511985581e-01 3.669009879010203812e-01
1.850000000000000089e+00 1.538034138985925892e-01 3.811868407536757042e-01
1.899999999999999911e+00 1.660929454321198873e-01 3.946688325714585166e-01
1.949999999999999956e+00 1.788522242704682075e-01 4.072555953983243437e-01
2.000000000000000000e+00 1.920631071734601181e-01 4.188597817718751615e-01
2.049999999999999822e+00 2.057032882347732405e-01 4.293987714134747113e-01
2.100000000000000089e+00 2.197459648659421672e-01 4.387953914490891338e-01
2.149999999999999911e+00 2.341595619912009429e-01 4.469786423847867396e-01
2.200000000000000178e+00 2.489075308349381066e-01 4.538844196340879877e-01
2.250000000000000000e+00 2.639482368778011678e-01 4.594562182240854442e-01
2.299999999999999822e+00 2.792349491446857734e-01 4.636458065071561441e-01
2.350000000000000089e+00 2.947159400530939277e-01 4.664138533749077609e-01
2.399999999999999911e+00 3.103347016997501373e-01 4.677304926919885197e-01
2.450000000000000178e+00 3.260302808197936275e-01 4.675758084988203556e-01
2.500000000000000000e+00 3.417377308510839984e-01 4.659402250087230080e-01
2.549999999999999822e+00 3.573886757176706896e-01 4.628247865543725914e-01
2.600000000000000089e+00 3.729119762536945437e-01 4.582413144020979212e-01
2.649999999999999911e+00 3.882344867598696569e-01 4.522124297046530295e-01
2.700000000000000178e+00 4.032818861471050842e-01 4.447714347332398788e-01
2.750000000000000000e+00 4.179795655886202055e-01 4.359620478248436570e-01
2.799999999999999822e+00 4.322535526664700312e-01 4.258379910896120113e-01
2.850000000000000089e+00 4.460314507309908194e-01 4.144624337188717034e-01
