# x betaInf_err beta5_err
# x	betaInf_err	beta5_err
0.1	0.013456991452831085	0.031767500519122555
0.05	0.00919046199029739	0.038401393964531454
0.025	0.006139423669520405	0.013581922114123651
0.0125	0.0042040897513098046	0.009303970988101958
0.00625	0.0035910973106686272	0.011755560219153019
