# x betaInf_err beta5_err
# x	betaInf_err	beta5_err
2	0.03217421753560017	0.047454660484702725
4	0.0036133168265490914	0.014690543772996187
6	0.003616219764254179	0.013065549638423888
8	0.0029596675525132704	0.014081122405440759
10	0.0032630223266910292	0.013280746113606941
