# x betaInf_err beta5_err
# x	betaInf_err	beta5_err
10	0.10601462610340674	0.06819577446742306
20	0.014120195192898893	0.03598722631620934
30	0.0035910973106686272	0.013581922114123651
40	0.0005772323032399628	0.019880490295093083
50	0.0018594229446108276	0.014434763577418963
60	0.00011357706805299237	0.010583829706995415
