# ts	z0
0.0	0.5000000000000001
0.0125	0.49996095120717043
0.025	0.49984383703157675
0.037500000000000006	0.49964883677388783
0.05	0.49937624851837886
0.0625	0.49902648754139156
0.07500000000000001	0.49860008412306545
0.08750000000000001	0.49809768080156674
0.1	0.4975200291176598
0.1125	0.4968679859049055
0.125	0.4961425091867818
0.1375	0.4953446537477767
0.15000000000000002	0.4944755664484588
0.1625	0.49353648135615835
0.17500000000000002	0.4925287147633835
0.1875	0.4914536601642447
0.2	0.4903127832564228
0.21250000000000002	0.48910761703203554
0.225	0.48783975701484456
0.23750000000000002	0.4865108566941914
0.25	0.4851226231986328
0.2625	0.48367681324320305
0.275	0.4821752293768788
0.28750000000000003	0.4806197165458642
0.30000000000000004	0.47901215897948324
0.3125	0.47735447739531606
0.325	0.47564862650911344
0.3375	0.4738965928308018
0.35000000000000003	0.47210039271932386
0.36250000000000004	0.4702620706584022
0.375	0.4683836977126249
0.3875	0.4664673701179433
0.4	0.46451520795671697
0.41250000000000003	0.46252935386673233
0.42500000000000004	0.4605119717262824
0.4375	0.458465245251307
0.45	0.4563913764586817
0.4625	0.4542925839563946
0.47500000000000003	0.45217110101395325
0.48750000000000004	0.45002917336888587
0.5	0.447869056732281
0.5125000000000001	0.4456930139613618
0.525	0.443503311874158
0.5375	0.4413022176957104
0.55	0.43909199514023456
0.5625	0.4368749001388685
0.5750000000000001	0.43465317620417726
0.5875	0.43242904941928845
0.6000000000000001	0.4302047230610871
0.6125	0.42798237187747784
0.625	0.4257641360803263
0.6375000000000001	0.42355211514736646
0.65	0.4213483613974552
0.6625000000000001	0.41915487338127977
0.675	0.41697358918936706
0.6875	0.41480637975567575
0.7000000000000001	0.4126550422324069
0.7125	0.41052129351762817
0.7250000000000001	0.40840676401518156
0.7375	0.40631299170024493
0.75	0.40424141656314955
0.7625000000000001	0.40219337549683615
0.775	0.40017009768859213
0.7875000000000001	0.3981727005899918
0.8	0.3962021865407912
0.8125	0.39425944010140207
0.8250000000000001	0.3923452261287464
0.8375	0.39046018861857396
0.8500000000000001	0.3886048503253372
0.8625	0.38677961315840226
0.875	0.38498475935208326
0.8875000000000001	0.383220453407238
0.9	0.38148674478572586
0.9125000000000001	0.37978357132064566
0.925	0.37811076329274185
0.9375	0.3764680481140246
0.9500000000000001	0.3748550555506838
0.9625	0.3732713234087189
