# ts ed_beta5_lt1
# ts	ed_beta5_lt1
0.0	1.0000000000000095
0.0125	0.9992676169129924
0.025	0.9970733504762139
0.037500000000000006	0.9934258359277202
0.05	0.9883394212793197
0.0625	0.9818341014566697
0.07500000000000001	0.9739354265323207
0.08750000000000001	0.9646743844833242
0.1	0.9540872590281391
0.1125	0.9422154632136058
0.125	0.9291053495373938
0.1375	0.9148079975022492
0.15000000000000002	0.8993789796047024
0.1625	0.8828781068628686
0.17500000000000002	0.865369155082367
0.1875	0.8469195731536521
0.2	0.8276001747541294
0.21250000000000002	0.8074848149103293
0.225	0.7866500529428413
0.23750000000000002	0.7651748033838693
0.25	0.7431399765096541
0.2625	0.7206281101816618
0.275	0.697722994728507
0.28750000000000003	0.674509292633249
0.30000000000000004	0.651072154814285
0.3125	0.6274968353028308
0.325	0.6038683061268163
0.3375	0.5802708742081243
0.35000000000000003	0.556787802070525
0.36250000000000004	0.5335009341348707
0.375	0.5104903303516571
0.3875	0.4878339088840131
0.4	0.46560709951060997
0.41250000000000003	0.44388250936543117
0.42500000000000004	0.42272960257198633
0.4375	0.4022143952614143
0.45	0.38239916739101243
0.4625	0.3633421926975471
0.47500000000000003	0.34509748803321666
0.48750000000000004	0.32771458323860786
0.5	0.311238312608457
0.5125000000000001	0.2957086289025232
0.525	0.28116044074605806
0.5375	0.2676234741517249
0.55	0.25512215878027705
0.5625	0.24367553943828674
0.5750000000000001	0.2332972131914706
0.5875	0.22399529234888788
0.6000000000000001	0.2157723934512057
0.6125	0.20862565227100377
0.625	0.20254676471017857
0.6375000000000001	0.19752205335625386
0.65	0.1935325593362236
0.6625000000000001	0.19055415898910316
0.675	0.18855770475704237
0.6875	0.1875091895835347
0.7000000000000001	0.18736993399388852
0.7125	0.18809679492637804
0.7250000000000001	0.18964239528027266
0.7375	0.19195537304925972
0.75	0.1949806488160683
0.7625000000000001	0.1986597102985732
0.775	0.20293091255802362
0.7875000000000001	0.20772979240596676
0.8	0.21298939548171456
0.8125	0.21864061441289925
0.8250000000000001	0.2246125364206407
0.8375	0.2308327986884694
0.8500000000000001	0.23722794977839323
0.8625	0.24372381535191087
0.875	0.2502458664342056
0.8875000000000001	0.2567195884514304
0.9	0.26307084926831475
0.9125000000000001	0.2692262644619775
0.925	0.2751135580821118
0.9375	0.28066191717302497
0.9500000000000001	0.28580233836465024
0.9625	0.2904679648805221
0.9750000000000001	0.2945944123586968
0.9875	0.2981200819380052
1.0	0.3009864591252876
1.0125	0.3031383970297346
1.0250000000000001	0.30452438262767045
1.0375	0.3050967848049023
1.05	0.30481208301295376
1.0625	0.3036310754707793
1.075	0.30151906594370625
1.0875000000000001	0.29844602823559174
1.1	0.29438674763946054
1.1125	0.28932093870353504
1.125	0.28323333878522144
1.1375	0.27611377698288725
1.1500000000000001	0.267957218155086
1.1625	0.2587637818572836
1.175	0.2485387361478804
1.1875	0.2372924663366361
1.2000000000000002	0.22504041886985973
1.2125000000000001	0.21180302066659817
1.225	0.19760557433845202
1.2375	0.18247812984177336
1.25	0.16645533322439612
1.2625000000000002	0.14957625323904264
1.2750000000000001	0.13188418670176452
1.2875	0.11342644357562552
1.3	0.09425411285678179
1.3125	0.07442181043182147
1.3250000000000002	0.05398741016113161
1.3375000000000001	0.03301175952279503
1.35	0.011558381224764058
1.3625	-0.010306837740598193
1.375	-0.032515968066539946
1.3875000000000002	-0.054999369541613455
1.4000000000000001	-0.07768603027040916
1.4125	-0.10050391204074546
1.425	-0.12338030014474141
1.4375	-0.14624215594181095
1.4500000000000002	-0.16901647044015988
1.4625000000000001	-0.19163061717046453
1.475	-0.21401270263102254
1.4875	-0.23609191259736825
1.5	-0.25779885261131447
1.5125000000000002	-0.2790658809950266
1.5250000000000001	-0.2998274327734645
1.5375	-0.3200203329349966
1.55	-0.3395840975135743
1.5625	-0.358461221036634
1.5750000000000002	-0.37659744895115016
1.5875000000000001	-0.3939420337147411
1.6	-0.4104479733199987
1.6125	-0.4260722311066686
1.625	-0.44077593580923247
1.6375000000000002	-0.4545245608846983
1.6500000000000001	-0.4672880822671559
1.6625	-0.47904111380224723
1.675	-0.4897630197239918
1.6875	-0.49943800364888863
1.7000000000000002	-0.5080551736781349
1.7125000000000001	-0.5156085833144514
1.725	-0.5220972480200509
1.7375	-0.5275251373596669
1.75	-0.5319011427931792
1.7625000000000002	-0.5352390213005362
1.7750000000000001	-0.5375573151397592
1.7875	-0.5388792481553417
1.8	-0.539232599168002
1.8125	-0.5386495530894673
1.8250000000000002	-0.537166530512608
1.8375000000000001	-0.5348239966336737
1.85	-0.5316662504624899
1.8625	-0.5277411953723751
1.875	-0.5231000921326384
1.8875000000000002	-0.5177972956503545
1.9000000000000001	-0.5118899767275025
1.9125	-0.5054378302120026
1.925	-0.4985027709863251
1.9375	-0.4911486192961344
1.9500000000000002	-0.4834407769726768
1.9625000000000001	-0.47544589614604715
1.975	-0.4672315420819761
1.9875	-0.45886585180297806
2.0	-0.4504171901741198
2.0125	-0.4419538051446419
2.025	-0.43354348384084596
2.0375	-0.42525321119944753
2.0500000000000003	-0.41714883281787735
2.0625	-0.4092947236763518
2.075	-0.4017534643569369
2.0875	-0.39458552634699906
2.1	-0.3878489679700324
2.1125000000000003	-0.38159914243277826
2.125	-0.37588841941903284
2.1375	-0.3707659215921785
2.15	-0.3662772772961265
2.1625	-0.36246439066355074
2.1750000000000003	-0.3593652302555074
2.1875	-0.35701363726366386
2.2	-0.3554391542131262
2.2125	-0.3546668749997207
2.225	-0.354717316993542
2.2375000000000003	-0.35560631583092844
2.25	-0.35734494340598877
2.2625	-0.35993944945954814
2.275	-0.3633912270466665
2.2875	-0.36769680204854327
2.3000000000000003	-0.372847846775189
2.3125	-0.37883121758825233
2.325	-0.38562901635573804
2.3375	-0.3932186754338763
2.35	-0.40157306575521695
2.3625000000000003	-0.4106606274908986
2.375	-0.42044552264318386
2.3875	-0.43088780881743166
2.4000000000000004	-0.44194363331998576
2.4125	-0.4535654466275048
2.4250000000000003	-0.46570223418098555
2.4375	-0.47829976536579444
2.45	-0.4913008584564592
2.4625000000000004	-0.5046456602271904
2.475	-0.5182719388563568
2.4875000000000003	-0.5321153886898807
2.5	-0.5461099453687296
