# ts lt0 lt1
# ts	lt	lt
0.0	0.0	1.0000000000000095
0.0125	0.012486042324178003	0.9992676169129924
0.025	0.024888416073831077	0.9970733504762139
0.037500000000000006	0.037123839687332114	0.9934258359277202
0.05	0.049109803814732296	0.9883394212793197
0.0625	0.06076495289698016	0.9818341014566697
0.07500000000000001	0.07200946133725648	0.9739354265323207
0.08750000000000001	0.0827654025018898	0.9646743844833242
0.1	0.09295710882232544	0.9540872590281391
0.1125	0.10251152131197352	0.9422154632136058
0.125	0.11135852686199461	0.9291053495373938
0.1375	0.11943128173823347	0.9148079975022492
0.15000000000000002	0.12666651976694637	0.8993789796047024
0.1625	0.13300484376994676	0.8828781068628686
0.17500000000000002	0.13839099888896966	0.865369155082367
0.1875	0.1427741265255705	0.8469195731536521
0.2	0.14610799771441219	0.8276001747541294
0.21250000000000002	0.14835122484587257	0.8074848149103293
0.225	0.14946745075643658	0.7866500529428413
0.23750000000000002	0.14942551431280046	0.7651748033838693
0.25	0.1481995917272079	0.7431399765096541
0.2625	0.14576931295660311	0.7206281101816618
0.275	0.14211985265638477	0.697722994728507
0.28750000000000003	0.13724199528028755	0.674509292633249
0.30000000000000004	0.13113217404002125	0.651072154814285
0.3125	0.12379248356293548	0.6274968353028308
0.325	0.1152306662097177	0.6038683061268163
0.3375	0.10546007213929888	0.5802708742081243
0.35000000000000003	0.09449959333234736	0.556787802070525
0.36250000000000004	0.08237357190759007	0.5335009341348707
0.375	0.06911168318712613	0.5104903303516571
0.3875	0.054748794085722266	0.4878339088840131
0.4	0.03932479751587595	0.46560709951060997
0.41250000000000003	0.022884423613444962	0.44388250936543117
0.42500000000000004	0.005477028697723076	0.42272960257198633
0.4375	-0.012843637015118814	0.4022143952614143
0.45	-0.03201968182672339	0.38239916739101243
0.4625	-0.05198934388610618	0.3633421926975471
0.47500000000000003	-0.07268728013238308	0.34509748803321666
0.48750000000000004	-0.09404487146639434	0.32771458323860786
0.5	-0.11599054269154664	0.311238312608457
0.5125000000000001	-0.13845009569492095	0.2957086289025232
0.525	-0.16134705427917426	0.28116044074605806
0.5375	-0.18460301900079867	0.2676234741517249
0.55	-0.20813803032590208	0.25512215878027705
0.5625	-0.23187093837553277	0.24367553943828674
0.5750000000000001	-0.25571977750395797	0.2332972131914706
0.5875	-0.2796021439319625	0.22399529234888788
0.6000000000000001	-0.3034355746442236	0.2157723934512057
0.6125	-0.32713792575678424	0.20862565227100377
0.625	-0.35062774856396656	0.20254676471017857
0.6375000000000001	-0.3738246614881598	0.19752205335625386
0.65	-0.39664971617685413	0.1935325593362236
0.6625000000000001	-0.41902575602180386	0.19055415898910316
0.675	-0.4408777654125361	0.18855770475704237
0.6875	-0.46213320808368347	0.1875091895835347
0.7000000000000001	-0.4827223529685171	0.18736993399388852
0.7125	-0.5025785860336541	0.18809679492637804
0.7250000000000001	-0.5216387066376252	0.18964239528027266
0.7375	-0.5398432070330902	0.19195537304925972
0.75	-0.5571365337127046	0.1949806488160683
0.7625000000000001	-0.5734673293894731	0.1986597102985732
0.775	-0.5887886544941766	0.20293091255802362
0.7875000000000001	-0.6030581871736607	0.20772979240596676
0.8	-0.6162384008766383	0.21298939548171456
0.8125	-0.628296718722692	0.21864061441289925
0.8250000000000001	-0.6392056439620972	0.2246125364206407
0.8375	-0.6489428659496016	0.2308327986884694
0.8500000000000001	-0.6574913411730027	0.23722794977839323
0.8625	-0.6648393489979805	0.24372381535191087
0.875	-0.6709805219113045	0.2502458664342056
0.8875000000000001	-0.675913850168298	0.2567195884514304
0.9	-0.6796436608721929	0.26307084926831475
0.9125000000000001	-0.6821795716362584	0.2692262644619775
0.925	-0.6835364191007584	0.2751135580821118
0.9375	-0.6837341626979694	0.28066191717302497
0.9500000000000001	-0.6827977641755277	0.28580233836465024
0.9625	-0.6807570435053111	0.2904679648805221
0.9750000000000001	-0.6776465119167799	0.2945944123586968
0.9875	-0.673505182903006	0.2981200819380052
1.0	-0.6683763621521458	0.3009864591252876
1.0125	-0.6623074174572073	0.3031383970297346
1.0250000000000001	-0.6553495297516357	0.30452438262767045
1.0375	-0.6475574265078778	0.3050967848049023
1.05	-0.6389890988183428	0.30481208301295376
1.0625	-0.6297055035560061	0.3036310754707793
1.075	-0.6197702520811618	0.30151906594370625
1.0875000000000001	-0.6092492870230272	0.29844602823559174
1.1	-0.5982105487219058	0.29438674763946054
1.1125	-0.5867236329631177	0.28932093870353504
1.125	-0.5748594416752651	0.28323333878522144
1.1375	-0.5626898282963828	0.27611377698288725
1.1500000000000001	-0.5502872395340654	0.267957218155086
1.1625	-0.5377243552626776	0.2587637818572836
1.175	-0.5250737283043053	0.2485387361478804
1.1875	-0.5124074258419848	0.2372924663366361
1.2000000000000002	-0.49979667419875623	0.22504041886985973
1.2125000000000001	-0.4873115087028625	0.21180302066659817
1.225	-0.4750204303263059	0.19760557433845202
1.2375	-0.46299007075520054	0.18247812984177336
1.25	-0.4512848675012569	0.16645533322439612
1.2625000000000002	-0.4399667506177897	0.14957625323904264
1.2750000000000001	-0.42909484252210445	0.13188418670176452
1.2875	-0.41872517236144047	0.11342644357562552
1.3	-0.4089104062887344	0.09425411285678179
1.3125	-0.3996995949324835	0.07442181043182147
1.3250000000000002	-0.39113793926298734	0.05398741016113161
1.3375000000000001	-0.38326657596381736	0.03301175952279503
1.35	-0.3761223833234003	0.011558381224764058
