# ts lt0 lt1
# ts	lt	lt
0.0	-2.1625288967450905e-16	0.9999999999999964
0.00625	0.006068894614696798	0.9956680141339721
0.0125	0.012274899227965668	0.9951237059332468
0.018750000000000003	0.01846013840111961	0.994215415949357
0.025	0.024614224920442154	0.9929440365267335
0.03125	0.030726806722178802	0.9913108155350453
0.037500000000000006	0.0367875789592943	0.9893173565526374
0.043750000000000004	0.042786295825256074	0.9869656161695771
0.05	0.04871278192759803	0.9842579018148271
0.05625	0.05455694461783655	0.9811968694457341
0.0625	0.06030878543733594	0.9777855194423593
0.06875	0.06595841203545348	0.9740271942925168
0.07500000000000001	0.07149604936824393	0.9699255746481806
0.08125	0.07691205090115288	0.9654846751441808
0.08750000000000001	0.08219690977327751	0.9607088396597735
0.09375	0.08734127004088427	0.9556027368008719
0.1	0.09233593743098487	0.950171354285831
0.10625000000000001	0.0971718898790136	0.9444199932432082
0.1125	0.10184028826824743	0.9383542626741526
0.11875000000000001	0.10633248649486154	0.9319800731335134
0.125	0.1106400419694758	0.925303630299356
0.13125	0.11475472424753642	0.9183314256309743
0.1375	0.11866852529490551	0.9110702313104392
0.14375000000000002	0.12237366870860832	0.9035270922723729
0.15000000000000002	0.12586261884709005	0.8957093177120032
0.15625	0.12912808922323513	0.8876244728872131
0.1625	0.1321630512313769	0.8792803705544362
0.16875	0.13496074211859763	0.8706850620133534
0.17500000000000002	0.13751467285576727	0.8618468280110888
0.18125000000000002	0.13981863563856242	0.8527741692038697
0.1875	0.14186671106121002	0.8434757966402797
0.19375	0.143653274602881	0.8339606212006404
0.2	0.14517300373803513	0.8242377442201126
0.20625000000000002	0.14642088385079902	0.8143164469582734
0.21250000000000002	0.14739221388130755	0.8042061799913818
0.21875	0.14808261202715745	0.7939165525225566
0.225	0.14848802056924745	0.7834573209629907
0.23125	0.1486047106566486	0.7728383781375973
0.23750000000000002	0.1484292866579801	0.7620697421754219
0.24375000000000002	0.14795868983218363	0.7511615449144761
0.25	0.14719020182403714	0.7401240204027814
0.25625000000000003	0.14612144792657178	0.7289674931504643
0.2625	0.14475040024022393	0.7177023664051606
0.26875	0.14307537935436884	0.7063391105207691
0.275	0.14109505568447592	0.6948882509222997
0.28125	0.1388084527209209	0.683360355957954
0.28750000000000003	0.1362149486922224	0.6717660247258592
0.29375	0.13331427352333075	0.6601158760265654
0.30000000000000004	0.1301065104970847	0.6484205363874959
0.30625	0.1265920977546683	0.6366906257342319
0.3125	0.1227718270129002	0.62493674636606
0.31875000000000003	0.1186468423500597	0.6131694718835176
0.325	0.11421863896729169	0.6013993352028301
0.33125000000000004	0.10948906188703496	0.5896368167367653
0.3375	0.10446030139734443	0.5778923308200327
0.34375	0.09913489066691573	0.5661762136024167
0.35000000000000003	0.09351570558926386	0.5544987128215659
0.35625	0.08760596015067194	0.5428699784969588
0.36250000000000004	0.0814092012616023	0.5313000502543056
0.36875	0.07492930489406771	0.519798844929128
0.375	0.06817047167370417	0.5083761453806883
