# ts ed_beta5
# ts	ed_beta5
0.0	1.0
0.0125	0.9987247264553201
0.025	0.9949067427289164
0.037500000000000006	0.9885695068496737
0.05	0.9797519402528012
0.0625	0.9685081661429
0.07500000000000001	0.9549071457578902
0.08750000000000001	0.9390322150676662
0.1	0.9209805251344398
0.1125	0.9008623900319638
0.125	0.8788005468634461
0.1375	0.8549293330284405
0.15000000000000002	0.8293937864630219
0.1625	0.8023486751110015
0.17500000000000002	0.7739574623731846
0.1875	0.7443912157230592
0.2	0.7138274660679748
0.21250000000000002	0.6824490257718204
0.225	0.6504427735362173
0.23750000000000002	0.6179984145604691
0.25	0.5853072245639998
0.2625	0.5525607863580926
0.275	0.5199497276955067
0.28750000000000003	0.4876624691065979
0.30000000000000004	0.4558839903494412
0.3125	0.4247946239594778
0.325	0.39456888418241903
0.3375	0.36537433931434915
0.35000000000000003	0.3373705351566343
0.36250000000000004	0.31070797692296626
0.375	0.2855271765141453
0.3875	0.2619577716062654
0.4	0.24011772248290908
0.41250000000000003	0.2201125919858145
0.42500000000000004	0.20203491336495258
0.4375	0.1859636501824988
0.45	0.1719637517701882
0.4625	0.16008580706072514
0.47500000000000003	0.15036579891614985
0.48750000000000004	0.14282496036425357
0.5	0.13746973343353208
0.5125000000000001	0.13429183055265173
0.525	0.13326839775745658
0.5375	0.13436227823199312
0.55	0.1375223740052577
0.5625	0.14268410293716413
0.5750000000000001	0.14976994746061129
0.5875	0.15869009090618263
0.6000000000000001	0.16934313662643538
0.6125	0.1816169045623039
0.625	0.19538929935887858
0.6375000000000001	0.210529243645446
0.65	0.22689766964875724
0.6625000000000001	0.2443485619120414
0.675	0.26273004354810775
0.6875	0.28188549816539743
0.7000000000000001	0.3016547193729842
0.7125	0.3218750795959151
0.7250000000000001	0.34238270981706276
0.7375	0.3630136818065699
0.75	0.38360518440536506
0.7625000000000001	0.40399668549480716
0.775	0.4240310714100176
0.7875000000000001	0.4435557557385364
0.8	0.4624237496874828
0.8125	0.48049468649939014
0.8250000000000001	0.49763579274718406
0.8375	0.5137227997398074
0.8500000000000001	0.528640788718705
0.8625	0.5422849640185495
0.875	0.5545613488996145
0.8875000000000001	0.565387399330062
0.9	0.5746925316000865
0.9125000000000001	0.5824185602818222
0.925	0.5885200437047164
0.9375	0.5929645347907416
0.9500000000000001	0.5957327357827147
0.9625	0.596818556096931
0.9750000000000001	0.5962290732332803
0.9875	0.5939843973771376
1.0	0.590117441022149
1.0125	0.5846735956270193
1.0250000000000001	0.5777103179872675
1.0375	0.5692966296500579
1.05	0.5595125333219104
1.0625	0.5484483508109442
1.075	0.5362039876030118
1.0875000000000001	0.5228881296907548
1.1	0.5086173787524397
1.1125	0.49351533221021054
1.125	0.477711615081749
1.1375	0.46134087087297315
1.1500000000000001	0.4445417190396068
1.1625	0.42745568677050705
1.175	0.4102261230139071
1.1875	0.39299710277815675
1.2000000000000002	0.37591232979025924
1.2125000000000001	0.3591140455884783
1.225	0.34274195305933025
1.2375	0.32693216230535493
1.25	0.3118161665487636
1.2625000000000002	0.2975198555390438
1.2750000000000001	0.2841625736416737
1.2875	0.271856229442231
1.3	0.2607044633082618
1.3125	0.2508018789129076
1.3250000000000002	0.24223334424299348
1.3375000000000001	0.23507336709343854
1.35	0.2293855494934146
1.3625	0.22522212492167545
1.375	0.22262358155330728
1.3875000000000002	0.22161837414227126
1.4000000000000001	0.2222227264881964
1.4125	0.22444052576683327
1.425	0.22826330932610148
1.4375	0.23367034386896313
1.4500000000000002	0.24062879626511507
1.4625000000000001	0.24909399456092465
1.475	0.2590097770958588
1.4875	0.27030892698874776
1.5	0.2829136886332732
1.5125000000000002	0.29673636224363686
1.5250000000000001	0.31167997192265035
1.5375	0.3276390021898265
1.55	0.34450019741009535
1.5625	0.36214341810824696
1.5750000000000002	0.38044254774335157
1.5875000000000001	0.39926644315414683
1.6	0.41847992157336894
1.6125	0.43794477684845684
1.625	0.45752081729979543
1.6375000000000002	0.47706691749719027
1.6500000000000001	0.4964420761415369
1.6625	0.5155064722024854
1.675	0.5341225114842013
1.6875	0.5521558558701951
1.7000000000000002	0.5694764276338206
1.7125000000000001	0.58595938139244
