# ts tempo_beta5
# ts	tempo_beta5
0.0	0.9999999999999964
0.00625	0.9996792138045061
0.0125	0.9987236315601341
0.018750000000000003	0.9971347414906128
0.025	0.9949150014072502
0.03125	0.9920678307354199
0.037500000000000006	0.9885976097754313
0.043750000000000004	0.9845096703138188
0.05	0.9798102865586547
0.05625	0.9745066704187297
0.0625	0.9686069492827531
0.06875	0.9621201591187828
0.07500000000000001	0.9550562301684584
0.08125	0.9474259706007673
0.08750000000000001	0.9392410481111082
0.09375	0.9305139721260665
0.1	0.9212580718572648
0.10625000000000001	0.911487473969997
0.1125	0.9012170803355354
0.11875000000000001	0.8904625441732288
0.125	0.879240244439038
0.13125	0.8675672540537026
0.1375	0.8554613164872009
0.14375000000000002	0.8429408162122579
0.15000000000000002	0.8300247464867054
0.15625	0.8167326784394814
0.1625	0.8030847286800407
0.16875	0.7891015260214881
0.17500000000000002	0.7748041769464942
0.18125000000000002	0.7602142304356458
0.1875	0.7453536424900254
0.19375	0.7302447386324841
0.2	0.7149101773458367
0.20625000000000002	0.6993729130339199
0.21250000000000002	0.6836561573563769
0.21875	0.6677833409200602
0.225	0.6517780734974707
0.23125	0.6356641054763482
0.23750000000000002	0.6194652887731988
0.24375000000000002	0.6032055365558227
0.25	0.5869087836331127
0.25625000000000003	0.5705989482424086
0.2625	0.5542998924090136
0.26875	0.5380353792273923
0.275	0.5218290370813515
0.28125	0.5057043177627234
0.28750000000000003	0.4896844696657345
0.29375	0.47379254018049066
0.30000000000000004	0.45805126978842514
0.30625	0.44248288665845076
0.3125	0.4271093765844589
0.31875000000000003	0.41195237744968116
0.325	0.39703308916271396
0.33125000000000004	0.3823722279902047
0.3375	0.36798999797481485
0.34375	0.3539060760429119
0.35000000000000003	0.3401395890525408
0.35625	0.32670906651696124
0.36250000000000004	0.3136323967538791
0.36875	0.30092680948795314
0.375	0.2886088501797523
0.38125000000000003	0.27669434584320246
0.3875	0.265198375854883
0.39375000000000004	0.2541352753794179
0.4	0.24351864262195347
0.40625	0.23336128922000202
0.41250000000000003	0.2236751927171088
0.41875	0.21447148646574837
0.42500000000000004	0.20576045184846337
0.43125	0.19755150541294456
0.4375	0.18985318552649574
0.44375000000000003	0.1826731403957263
0.45	0.17601811789720004
0.45625000000000004	0.1698939568464637
0.4625	0.16430557946487534
0.46875	0.15925698545274355
0.47500000000000003	0.15475124856170103
0.48125	0.15079051631330137
0.48750000000000004	0.14737601066138442
0.49375	0.14450802985688707
0.5	0.14218594759090006
0.50625	0.14040821230535175
0.5125000000000001	0.13917235565907288
0.51875	0.13847500299871482
0.525	0.13831188346717052
0.53125	0.13867784105145156
0.5375	0.13956684691405383
0.5437500000000001	0.1409720132201871
0.55	0.14288560841313783
0.55625	0.14529907390855057
0.5625	0.14820304225601047
0.56875	0.15158735663302103
0.5750000000000001	0.15544109171493972
0.58125	0.15975257585657218
0.5875	0.16450941450517373
0.59375	0.16969851485556217
0.6000000000000001	0.17530611165324286
0.6062500000000001	0.18131779413245
0.6125	0.18771853401224067
0.61875	0.1944927145055898
0.625	0.20162416030651514
0.6312500000000001	0.2090961684668407
0.6375000000000001	0.21689154013957654
0.64375	0.22499261312818178
0.65	0.23338129517445744
0.65625	0.2420390979665443
0.6625000000000001	0.2509471717744743
0.6687500000000001	0.2600863406575577
0.675	0.2694371381908409
0.68125	0.2789798436175554
0.6875	0.2886945183950078
0.6937500000000001	0.2985610431671967
0.7000000000000001	0.30855915482129553
0.70625	0.31866848229332095
0.7125	0.3288685816399002
0.71875	0.3391389744580883
0.7250000000000001	0.34945919023507427
0.7312500000000001	0.3598088058671294
0.7375	0.37016747960152685
0.74375	0.3805149841296218
0.75	0.39083124141289094
0.7562500000000001	0.4010963589929368
0.7625000000000001	0.4112906667267775
0.76875	0.4213947529483078
0.775	0.4313894991761223
0.78125	0.44125611337340825
0.7875000000000001	0.4509761624176365
0.7937500000000001	0.4605316040635851
0.8	0.4699048184920772
0.80625	0.4790786389923037
0.8125	0.4880363816534528
0.8187500000000001	0.49676187405981104
0.8250000000000001	0.5052394829595713
0.83125	0.5134541408143413
0.8375	0.5213913711473086
0.84375	0.5290373127129974
0.8500000000000001	0.5363787424170531
0.8562500000000001	0.5434030967532884
0.8625	0.550098492512202
0.86875	0.5564537066219611
0.875	0.5624583376006956
0.8812500000000001	0.5681026551234466
