# ts lt0 lt1
# ts	lt	lt
0.0	0.0	0.9999999999999764
0.0125	0.012486042324178086	0.999267616913003
0.025	0.024888416073832093	0.9970733504762099
0.037500000000000006	0.03712383968733173	0.9934258359277048
0.05	0.04910980381473216	0.9883394212792758
0.0625	0.0607649528969789	0.9818341014566898
0.07500000000000001	0.07200946133725566	0.9739354265323117
0.08750000000000001	0.08276540250188727	0.9646743844833339
0.1	0.09295710882232554	0.9540872590281713
0.1125	0.10251152131197455	0.9422154632136236
0.125	0.11135852686199676	0.9291053495374076
0.1375	0.1194312817382327	0.9148079975022367
0.15000000000000002	0.1266665197669487	0.8993789796047276
0.1625	0.13300484376993982	0.8828781068628159
0.17500000000000002	0.1383909988889637	0.8653691550824121
0.1875	0.1427741265255715	0.8469195731536334
0.2	0.146107997714412	0.8276001747541788
0.21250000000000002	0.148351224845869	0.807484814910304
0.225	0.14946745075643952	0.7866500529428778
0.23750000000000002	0.14942551431279735	0.7651748033838905
0.25	0.14819959172720598	0.7431399765096813
0.2625	0.14576931295659107	0.7206281101816434
0.275	0.14211985265639504	0.6977229947285153
0.28750000000000003	0.13724199528029177	0.6745092926332658
0.30000000000000004	0.1311321740400279	0.6510721548143225
0.3125	0.12379248356293934	0.627496835302864
0.325	0.11523066620971532	0.6038683061268262
0.3375	0.10546007213929812	0.580270874208131
0.35000000000000003	0.09449959333234212	0.5567878020705395
0.36250000000000004	0.08237357190759198	0.5335009341348711
0.375	0.0691116831871409	0.5104903303516769
0.3875	0.05474879408573437	0.48783390888402456
0.4	0.03932479751587999	0.46560709951057866
0.41250000000000003	0.02288442361344134	0.44388250936542856
0.42500000000000004	0.0054770286977318845	0.4227296025719573
0.4375	-0.012843637015119026	0.4022143952614111
0.45	-0.032019681826719125	0.38239916739103547
0.4625	-0.05198934388611068	0.36334219269754603
0.47500000000000003	-0.07268728013237147	0.3450974880332237
0.48750000000000004	-0.09404487146638699	0.3277145832386239
0.5	-0.11599054269154752	0.31123831260846324
0.5125000000000001	-0.13845009569493155	0.29570862890251415
0.525	-0.16134705427918755	0.28116044074603314
0.5375	-0.18460301900080398	0.26762347415173554
0.55	-0.20813803032590952	0.25512215878027095
0.5625	-0.2318709383755211	0.24367553943833195
0.5750000000000001	-0.2557197775039629	0.2332972131914569
0.5875	-0.2796021439319389	0.22399529234887233
0.6000000000000001	-0.30343557464421667	0.2157723934512012
0.6125	-0.32713792575678546	0.2086256522709849
0.625	-0.35062774856397655	0.2025467647102066
0.6375000000000001	-0.3738246614881436	0.19752205335623857
0.65	-0.39664971617684125	0.19353255933623736
0.6625000000000001	-0.41902575602179326	0.1905541589891111
0.675	-0.4408777654125517	0.18855770475700862
0.6875	-0.46213320808368435	0.1875091895835416
0.7000000000000001	-0.4827223529685402	0.18736993399389537
0.7125	-0.5025785860336434	0.18809679492637
0.7250000000000001	-0.5216387066376219	0.18964239528028884
0.7375	-0.5398432070330966	0.19195537304926255
0.75	-0.5571365337127053	0.1949806488160613
0.7625000000000001	-0.5734673293894605	0.19865971029858237
0.775	-0.588788654494157	0.20293091255802095
0.7875000000000001	-0.6030581871736628	0.20772979240595252
0.8	-0.6162384008766377	0.21298939548170293
0.8125	-0.628296718722686	0.2186406144128812
0.8250000000000001	-0.639205643962103	0.22461253642064527
0.8375	-0.6489428659495873	0.23083279868845993
0.8500000000000001	-0.6574913411729981	0.23722794977840403
0.8625	-0.6648393489979558	0.24372381535190912
0.875	-0.6709805219112878	0.2502458664342135
0.8875000000000001	-0.6759138501682762	0.2567195884514166
0.9	-0.6796436608721815	0.26307084926830404
0.9125000000000001	-0.6821795716362601	0.26922626446197123
0.925	-0.6835364191007611	0.27511355808210647
0.9375	-0.6837341626979615	0.2806619171730172
0.9500000000000001	-0.6827977641755563	0.28580233836463864
0.9625	-0.6807570435053286	0.29046796488052073
0.9750000000000001	-0.6776465119167805	0.2945944123587029
0.9875	-0.6735051829029983	0.2981200819380089
1.0	-0.6683763621521577	0.30098645912528704
1.0125	-0.6623074174571986	0.30313839702973366
1.0250000000000001	-0.6553495297516289	0.30452438262767
1.0375	-0.6475574265078693	0.3050967848049074
1.05	-0.6389890988182989	0.304812083012956
1.0625	-0.6297055035560056	0.30363107547078455
1.075	-0.6197702520811669	0.3015190659436982
1.0875000000000001	-0.6092492870230211	0.29844602823558014
1.1	-0.5982105487218863	0.2943867476394596
1.1125	-0.5867236329631109	0.28932093870353565
1.125	-0.5748594416752761	0.2832333387852205
1.1375	-0.5626898282963985	0.2761137769828853
1.1500000000000001	-0.5502872395340728	0.26795721815508383
1.1625	-0.5377243552626235	0.2587637818572831
1.175	-0.5250737283043113	0.24853873614788188
1.1875	-0.5124074258419524	0.23729246633663692
